id	A	B	label
p0	t1,t9	t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t13,t14,t15	1
p1	t7,t11	t1,t2,t3,t4,t5,t6,t8,t9,OUT,t10,t12,t13,t14,t15	1
p2	t3,t12	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t13,t14,t15	1
p3	t4,t14	t1,t2,t3,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t15	1
p4	t6,t8	t1,t2,t3,t4,t5,t7,t9,OUT,t10,t11,t12,t13,t14,t15	1
p5	t7,t11,t13	t1,t2,t3,t4,t5,t6,t8,t9,OUT,t10,t12,t14,t15	1
p6	t2,t3,t12	t1,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t13,t14,t15	1
p7	t1,t4,t5,t6,t7,t8,t9,t10,t11,t13,t14,t15	t2,t3,OUT,t12	1
n0	t3,t4,t14	t1,t2,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t15	0
n1	t2,t12	t1,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t13,t14,t15	0
n2	t2,t3,t4,t12	t1,t5,t6,t7,t8,t9,OUT,t10,t11,t13,t14,t15	0
n3	t7,t9,t11	t1,t2,t3,t4,t5,t6,t8,OUT,t10,t12,t13,t14,t15	0
n4	t7,t13	t1,t2,t3,t4,t5,t6,t8,t9,OUT,t10,t11,t12,t14,t15	0
n5	t7,t10,t11,t13	t1,t2,t3,t4,t5,t6,t8,t9,OUT,t12,t14,t15	0
n6	t1,t4,t6,t7,t8,t9,t10,t11,t13,t14,t15	t2,t3,t5,OUT,t12	0
n7	t1,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15	t2,t3,OUT	0
n8	t1,t2,t9	t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t13,t14,t15	0
n9	t6,t8,t15	t1,t2,t3,t4,t5,t7,t9,OUT,t10,t11,t12,t13,t14	0
n10	t3,t6,t12	t1,t2,t4,t5,t7,t8,t9,OUT,t10,t11,t13,t14,t15	0
n11	t1,t2,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15	t3,OUT	0
n12	t1,t4,t8,t9,t11,t12,t13,t15	t2,t3,t5,t6,t7,OUT,t10,t14	0
n13	t1,t4,t5,t7,t8,t11,t15	t2,t3,t6,t9,OUT,t10,t12,t13,t14	0
n14	t2,t3,t5,t6,t7,t8,t11,t13,t14,t15	t1,t4,t9,OUT,t10,t12	0
n15	t4,t5,t7,t8,t9,t10,t11,t13,t14,t15	t1,t2,t3,t6,OUT,t12	0
n16	t1,t3,t4,t7,t8,t10,t14,t15	t2,t5,t6,t9,OUT,t11,t12,t13	0
n17	t2,t6,t8,t9,t11,t12,t13	t1,t3,t4,t5,t7,OUT,t10,t14,t15	0
n18	t1,t2,t3,t4,t6,t7,t8,t9,t10,t11,t13,t15	t5,OUT,t12,t14	0
n19	t7,t10,t12,t13,t14,t15	t1,t2,t3,t4,t5,t6,t8,t9,OUT,t11	0
n20	t1,t3,t4,t5,t6,t8,t9,t10,t12,t13,t14,t15	t2,t7,OUT,t11	0
n21	t1,t3,t5,t7,t9,t10,t11,t14,t15	t2,t4,t6,t8,OUT,t12,t13	0
n22	t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t13,t14,t15	OUT,t12	0
n23	t9,t15	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t13,t14	0
n24	t1,t2,t3,t4,t5,t6,t7,t8,t10,t13,t14	t9,OUT,t11,t12,t15	0
n25	t9,t13,t15	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t14	0
n26	t1,t2,t11,t12,t14,t15	t3,t4,t5,t6,t7,t8,t9,OUT,t10,t13	0
n27	t1,t2,t3,t4,t5,t8,t12,t13,t14	t6,t7,t9,OUT,t10,t11,t15	0
n28	t2,t3,t5,t9,t13,t14	t1,t4,t6,t7,t8,OUT,t10,t11,t12,t15	0
n29	t1,t3,t4,t5,t6,t7,t8,t9,t11,t12,t14,t15	t2,OUT,t10,t13	0
n30	t2,t4,t5,t7,t9,t12,t13	t1,t3,t6,t8,OUT,t10,t11,t14,t15	0
n31	t1,t4,t7,t10,t13	t2,t3,t5,t6,t8,t9,OUT,t11,t12,t14,t15	0
n32	t1,t3,t4,t7,t8,t9,t12,t15	t2,t5,t6,OUT,t10,t11,t13,t14	0
n33	t1,t3,t4,t5,t6,t7,t8,t9,t11,t12,t13,t15	t2,OUT,t10,t14	0
n34	t5,t12	t1,t2,t3,t4,t6,t7,t8,t9,OUT,t10,t11,t13,t14,t15	0
n35	t1,t2,t4,t5	t3,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15	0
n36	t5,t12,t15	t1,t2,t3,t4,t6,t7,t8,t9,OUT,t10,t11,t13,t14	0
n37	t3,t5,t7,t10	t1,t2,t4,t6,t8,t9,OUT,t11,t12,t13,t14,t15	0
n38	t9,t14	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t13,t15	0
n39	t10,t14	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t11,t12,t13,t15	0
